kind,capacity,config,levels,datasets,mean_hits,mean_hit_rate_percent,variance_hit_rate_percentage_points_squared,stddev_hit_rate_percentage_points,min_hit_rate_percent,max_hit_rate_percent
hotshift20,200,ARC_200,1,40,12431.925,62.159625,0.053481,0.231260,61.790000,62.695000
hotshift20,200,BELADY_200,1,40,14343.200,71.716000,0.009636,0.098164,71.475000,71.890000
hotshift20,200,LFU_200,1,40,2615.500,13.077500,0.105394,0.324644,12.200000,13.750000
hotshift20,200,LIRS_200,1,40,11613.025,58.065125,0.059247,0.243407,57.520000,58.515000
hotshift20,200,LRU_200,1,40,12008.050,60.040250,0.053068,0.230365,59.580000,60.450000
hotshift400,10,2Q_10,1,40,6827.750,34.138750,0.169804,0.412072,33.115000,34.965000
hotshift400,10,ARC_10,1,40,6760.175,33.800875,0.107100,0.327261,33.050000,34.580000
hotshift400,10,BELADY_10,1,40,11556.350,57.781750,0.067501,0.259809,57.220000,58.215000
hotshift400,10,LFU_10,1,40,639.375,3.196875,0.011634,0.107862,2.950000,3.495000
hotshift400,10,LIRS_10,1,40,7105.100,35.525500,0.107564,0.327969,34.800000,36.265000
hotshift400,10,LRU_10,1,40,6060.750,30.303750,0.105506,0.324817,29.750000,30.975000
hotshift400,25,2Q_25,1,40,13617.100,68.085500,0.155218,0.393977,67.270000,68.950000
hotshift400,25,ARC_25,1,40,14031.825,70.159125,0.145640,0.381628,69.270000,70.935000
hotshift400,25,BELADY_25,1,40,15485.500,77.427500,0.063762,0.252510,76.925000,77.865000
hotshift400,25,LFU_25,1,40,640.025,3.200125,0.011890,0.109043,2.950000,3.495000
hotshift400,25,LIRS_25,1,40,14175.000,70.875000,0.110374,0.332226,69.985000,71.555000
hotshift400,25,LRU_25,1,40,12765.225,63.826125,0.248574,0.498572,62.825000,64.600000
hotshift400,50,2Q_50,1,40,14110.575,70.552875,0.075482,0.274740,69.930000,71.105000
hotshift400,50,ARC_50,1,40,15139.225,75.696125,0.087730,0.296193,74.975000,76.270000
hotshift400,50,BELADY_50,1,40,16361.175,81.805875,0.043183,0.207806,81.415000,82.180000
hotshift400,50,LFU_50,1,40,646.525,3.232625,0.012729,0.112825,2.990000,3.540000
hotshift400,50,LIRS_50,1,40,14645.350,73.226750,0.089684,0.299473,72.485000,73.875000
hotshift400,50,LRU_50,1,40,15259.125,76.295625,0.085512,0.292424,75.665000,76.835000
hotshift400,75,2Q_75,1,40,14227.625,71.138125,0.074861,0.273608,70.490000,71.620000
hotshift400,75,ARC_75,1,40,15414.400,77.072000,0.089301,0.298833,76.540000,77.560000
hotshift400,75,BELADY_75,1,40,16837.775,84.188875,0.033549,0.183165,83.805000,84.505000
hotshift400,75,LFU_75,1,40,670.925,3.354625,0.019652,0.140185,3.000000,3.680000
hotshift400,75,LIRS_75,1,40,14994.775,74.973875,0.083253,0.288536,74.175000,75.490000
hotshift400,75,LRU_75,1,40,15469.025,77.345125,0.064552,0.254071,76.895000,77.790000
hotshift400,100,2Q_100,1,40,14380.275,71.901375,0.072556,0.269363,71.245000,72.310000
hotshift400,100,ARC_100,1,40,15582.700,77.913500,0.125059,0.353637,77.260000,78.655000
hotshift400,100,BELADY_100,1,40,17190.550,85.952750,0.027752,0.166591,85.645000,86.250000
hotshift400,100,LFU_100,1,40,716.350,3.581750,0.027966,0.167231,3.290000,3.940000
hotshift400,100,LIRS_100,1,40,15280.775,76.403875,0.084362,0.290452,75.660000,76.920000
hotshift400,100,LRU20_2Q80,2,40,14258.425,71.292125,0.075081,0.274008,70.610000,71.760000
hotshift400,100,LRU20_ARC80,2,40,15435.950,77.179750,0.105274,0.324460,76.540000,77.865000
hotshift400,100,LRU20_LFU80,2,40,11096.350,55.481750,0.233720,0.483446,54.560000,56.290000
hotshift400,100,LRU20_LIRS80,2,40,14434.850,72.174250,0.067485,0.259779,71.485000,72.620000
hotshift400,100,LRU_100,1,40,15653.825,78.269125,0.059749,0.244435,77.730000,78.635000
hotshift400,125,2Q_125,1,40,14537.625,72.688125,0.076153,0.275959,72.075000,73.165000
hotshift400,125,ARC_125,1,40,15837.500,79.187500,0.232841,0.482536,78.215000,80.075000
hotshift400,125,BELADY_125,1,40,17468.850,87.344250,0.020105,0.141791,87.090000,87.670000
hotshift400,125,LFU_125,1,40,780.775,3.903875,0.052137,0.228334,3.520000,4.345000
hotshift400,125,LIRS_125,1,40,15539.925,77.699625,0.075985,0.275654,77.010000,78.095000
hotshift400,125,LRU_125,1,40,15862.750,79.313750,0.060170,0.245296,78.795000,79.705000
hotshift400,150,2Q_150,1,40,14716.300,73.581500,0.078396,0.279994,72.925000,74.105000
hotshift400,150,ARC_150,1,40,16082.925,80.414625,0.156872,0.396071,79.355000,81.015000
hotshift400,150,BELADY_150,1,40,17708.425,88.542125,0.014655,0.121058,88.305000,88.790000
hotshift400,150,LFU_150,1,40,862.950,4.314750,0.066799,0.258454,3.665000,4.795000
hotshift400,150,LIRS_150,1,40,15773.675,78.868375,0.066849,0.258552,78.255000,79.290000
hotshift400,150,LRU_150,1,40,16050.400,80.252000,0.052309,0.228711,79.740000,80.675000
hotshift400,175,2Q_175,1,40,14922.850,74.614250,0.064328,0.253629,74.010000,75.120000
hotshift400,175,ARC_175,1,40,16436.400,82.182000,0.057078,0.238910,81.755000,82.760000
hotshift400,175,BELADY_175,1,40,17916.950,89.584750,0.013358,0.115575,89.330000,89.810000
hotshift400,175,LFU_175,1,40,970.400,4.852000,0.081525,0.285527,4.100000,5.495000
hotshift400,175,LIRS_175,1,40,15956.600,79.783000,0.070810,0.266101,79.215000,80.295000
hotshift400,175,LRU_175,1,40,16217.625,81.088125,0.048184,0.219509,80.585000,81.555000
hotshift400,200,2Q_200,1,40,15155.100,75.775500,0.072606,0.269455,75.240000,76.405000
hotshift400,200,ARC_200,1,40,16599.550,82.997750,0.051900,0.227816,82.435000,83.355000
hotshift400,200,BELADY_200,1,40,18093.200,90.466000,0.009868,0.099339,90.210000,90.665000
hotshift400,200,LFU_200,1,40,1085.225,5.426125,0.071976,0.268284,4.845000,6.000000
hotshift400,200,LIRS_200,1,40,16127.800,80.639000,0.065090,0.255127,80.130000,81.090000
hotshift400,200,LRU_200,1,40,16416.175,82.080875,0.048424,0.220055,81.570000,82.550000
mixed,10,2Q_10,1,40,10140.700,50.703500,0.139137,0.373011,49.820000,51.540000
mixed,10,ARC_10,1,40,10518.775,52.593875,0.157767,0.397199,51.930000,53.455000
mixed,10,BELADY_10,1,40,13036.450,65.182250,0.080196,0.283189,64.610000,65.850000
mixed,10,LFU_10,1,40,6360.250,31.801250,0.538565,0.733870,29.865000,32.990000
mixed,10,LIRS_10,1,40,10778.450,53.892250,0.137291,0.370528,53.135000,54.630000
mixed,10,LRU_10,1,40,9662.525,48.312625,0.175562,0.419001,47.430000,49.125000
mixed,25,2Q_25,1,40,12223.025,61.115125,0.096352,0.310406,60.490000,61.850000
mixed,25,ARC_25,1,40,13383.450,66.917250,0.089283,0.298803,66.430000,67.630000
mixed,25,BELADY_25,1,40,14837.100,74.185500,0.051801,0.227598,73.765000,74.685000
mixed,25,LFU_25,1,40,7754.950,38.774750,0.345714,0.587975,37.445000,39.780000
mixed,25,LIRS_25,1,40,12761.700,63.808500,0.094252,0.307004,63.175000,64.485000
mixed,25,LRU_25,1,40,12918.950,64.594750,0.101022,0.317839,64.075000,65.360000
mixed,50,2Q_50,1,40,13084.975,65.424875,0.081645,0.285737,64.815000,66.000000
mixed,50,ARC_50,1,40,14263.025,71.315125,0.101692,0.318891,70.640000,71.960000
mixed,50,BELADY_50,1,40,15921.275,79.606375,0.036603,0.191318,79.220000,80.175000
mixed,50,LFU_50,1,40,8544.400,42.722000,0.168046,0.409934,41.860000,43.510000
mixed,50,LIRS_50,1,40,14027.400,70.137000,0.091204,0.301999,69.565000,70.755000
mixed,50,LRU_50,1,40,14081.150,70.405750,0.098653,0.314091,69.835000,71.120000
mixed,75,2Q_75,1,40,13644.050,68.220250,0.099435,0.315332,67.665000,68.945000
mixed,75,ARC_75,1,40,14735.425,73.677125,0.090700,0.301164,73.030000,74.450000
mixed,75,BELADY_75,1,40,16517.650,82.588250,0.028202,0.167934,82.305000,83.105000
mixed,75,LFU_75,1,40,8954.900,44.774500,0.143514,0.378832,43.895000,45.420000
mixed,75,LIRS_75,1,40,14673.300,73.366500,0.090840,0.301397,72.685000,74.070000
mixed,75,LRU_75,1,40,14721.400,73.607000,0.088300,0.297153,73.080000,74.435000
mixed,100,2Q_100,1,40,14344.075,71.720375,0.103535,0.321769,71.015000,72.490000
mixed,100,ARC_100,1,40,15087.300,75.436500,0.063984,0.252950,74.940000,76.090000
mixed,100,BELADY_100,1,40,16926.575,84.632875,0.017990,0.134125,84.405000,85.110000
mixed,100,LFU_100,1,40,9239.325,46.196625,0.183776,0.428691,45.190000,47.145000
mixed,100,LIRS_100,1,40,15044.775,75.223875,0.068629,0.261971,74.570000,75.825000
mixed,100,LRU20_2Q80,2,40,15171.325,75.856625,0.116061,0.340677,75.230000,76.665000
mixed,100,LRU20_ARC80,2,40,15073.875,75.369375,0.102140,0.319593,74.680000,76.095000
mixed,100,LRU20_LFU80,2,40,15446.725,77.233625,0.087756,0.296237,76.715000,78.080000
mixed,100,LRU20_LIRS80,2,40,15025.800,75.129000,0.083285,0.288591,74.525000,75.720000
mixed,100,LRU_100,1,40,15168.300,75.841500,0.062931,0.250861,75.340000,76.625000
mixed,125,2Q_125,1,40,15281.825,76.409125,0.166372,0.407887,75.670000,77.325000
mixed,125,ARC_125,1,40,15404.100,77.020500,0.065670,0.256262,76.505000,77.905000
mixed,125,BELADY_125,1,40,17242.000,86.210000,0.013050,0.114237,86.010000,86.525000
mixed,125,LFU_125,1,40,9430.425,47.152125,0.200927,0.448249,45.975000,48.170000
mixed,125,LIRS_125,1,40,15294.725,76.473625,0.050600,0.224944,75.955000,77.030000
mixed,125,LRU_125,1,40,15511.525,77.557625,0.060897,0.246774,77.030000,78.270000
mixed,150,2Q_150,1,40,16235.625,81.178125,0.063691,0.252370,80.675000,81.645000
mixed,150,ARC_150,1,40,15722.575,78.612875,0.061843,0.248683,78.115000,79.390000
mixed,150,BELADY_150,1,40,17495.125,87.475625,0.012043,0.109739,87.260000,87.740000
mixed,150,LFU_150,1,40,9602.125,48.010625,0.205349,0.453154,46.530000,49.050000
mixed,150,LIRS_150,1,40,15488.575,77.442875,0.039418,0.198539,77.010000,77.885000
mixed,150,LRU_150,1,40,15789.825,78.949125,0.052023,0.228085,78.435000,79.620000
mixed,175,2Q_175,1,40,16558.800,82.794000,0.040319,0.200797,82.360000,83.160000
mixed,175,ARC_175,1,40,16004.825,80.024125,0.041600,0.203960,79.675000,80.610000
mixed,175,BELADY_175,1,40,17723.850,88.619250,0.008238,0.090763,88.425000,88.865000
mixed,175,LFU_175,1,40,9733.700,48.668500,0.265058,0.514838,47.135000,49.705000
mixed,175,LIRS_175,1,40,15657.775,78.288875,0.030402,0.174361,77.910000,78.665000
mixed,175,LRU_175,1,40,16025.875,80.129375,0.039990,0.199975,79.650000,80.800000
mixed,200,2Q_200,1,40,16821.425,84.107125,0.041906,0.204710,83.700000,84.545000
mixed,200,ARC_200,1,40,16252.525,81.262625,0.040497,0.201240,80.955000,81.805000
mixed,200,BELADY_200,1,40,17906.875,89.534375,0.008212,0.090619,89.345000,89.750000
mixed,200,LFU_200,1,40,9856.325,49.281625,0.219556,0.468568,47.785000,50.260000
mixed,200,LIRS_200,1,40,15820.075,79.100375,0.037486,0.193614,78.715000,79.535000
mixed,200,LRU_200,1,40,16227.175,81.135875,0.031015,0.176111,80.730000,81.695000
normal,10,2Q_10,1,40,1100.775,5.503875,0.028494,0.168802,5.200000,5.845000
normal,10,ARC_10,1,40,1027.600,5.138000,0.021542,0.146772,4.805000,5.530000
normal,10,BELADY_10,1,40,4831.375,24.156875,0.026951,0.164167,23.870000,24.470000
normal,10,LFU_10,1,40,1090.000,5.450000,0.163344,0.404158,4.185000,6.210000
normal,10,LIRS_10,1,40,1037.950,5.189750,0.026263,0.162058,4.825000,5.490000
normal,10,LRU_10,1,40,932.725,4.663625,0.021569,0.146865,4.380000,5.040000
normal,25,2Q_25,1,40,2711.400,13.557000,0.068643,0.261999,13.100000,14.115000
normal,25,ARC_25,1,40,2511.075,12.555375,0.077472,0.278338,11.805000,13.070000
normal,25,BELADY_25,1,40,8084.350,40.421750,0.061826,0.248649,39.945000,40.915000
normal,25,LFU_25,1,40,2724.425,13.622125,0.472882,0.687664,12.335000,15.280000
