dataset,seed,capacity,requests,algorithm,hits,misses,hit_rate
normal,2,100,20000,ARC,9381,10619,0.46905
normal,2,100,20000,2Q,7110,12890,0.3555
normal,2,100,20000,LIRS,9768,10232,0.4884
normal,2,100,20000,BELADY,15061,4939,0.75305
normal,3,100,20000,LRU,8992,11008,0.4496
normal,3,100,20000,LFU,10221,9779,0.51105
normal,3,100,20000,ARC,9288,10712,0.4644
normal,3,100,20000,2Q,6956,13044,0.3478
normal,3,100,20000,LIRS,9602,10398,0.4801
normal,3,100,20000,BELADY,15057,4943,0.75285
normal,4,100,20000,LRU,9024,10976,0.4512
normal,4,100,20000,LFU,10451,9549,0.52255
normal,4,100,20000,ARC,9425,10575,0.47125
normal,4,100,20000,2Q,7223,12777,0.36115
normal,4,100,20000,LIRS,9728,10272,0.4864
normal,4,100,20000,BELADY,15080,4920,0.754
normal,5,100,20000,LRU,8984,11016,0.4492
normal,5,100,20000,LFU,10319,9681,0.51595
normal,5,100,20000,ARC,9437,10563,0.47185
normal,5,100,20000,2Q,7035,12965,0.35175
normal,5,100,20000,LIRS,9722,10278,0.4861
normal,5,100,20000,BELADY,15101,4899,0.75505
normal,6,100,20000,LRU,8920,11080,0.446
normal,6,100,20000,LFU,10448,9552,0.5224
normal,6,100,20000,ARC,9318,10682,0.4659
normal,6,100,20000,2Q,7083,12917,0.35415
normal,6,100,20000,LIRS,9601,10399,0.48005
normal,6,100,20000,BELADY,15014,4986,0.7507
normal,7,100,20000,LRU,8994,11006,0.4497
normal,7,100,20000,LFU,10166,9834,0.5083
normal,7,100,20000,ARC,9400,10600,0.47
normal,7,100,20000,2Q,7081,12919,0.35405
normal,7,100,20000,LIRS,9670,10330,0.4835
normal,7,100,20000,BELADY,15065,4935,0.75325
normal,8,100,20000,LRU,9028,10972,0.4514
normal,8,100,20000,LFU,9829,10171,0.49145
normal,8,100,20000,ARC,9310,10690,0.4655
normal,8,100,20000,2Q,7074,12926,0.3537
normal,8,100,20000,LIRS,9699,10301,0.48495
normal,8,100,20000,BELADY,15034,4966,0.7517
normal,9,100,20000,LRU,9122,10878,0.4561
normal,9,100,20000,LFU,10465,9535,0.52325
normal,9,100,20000,ARC,9497,10503,0.47485
normal,9,100,20000,2Q,7153,12847,0.35765
normal,9,100,20000,LIRS,9788,10212,0.4894
normal,9,100,20000,BELADY,15113,4887,0.75565
scan,0,100,20000,LRU,0,20000,0.0
scan,0,100,20000,LFU,0,20000,0.0
scan,0,100,20000,ARC,0,20000,0.0
scan,0,100,20000,2Q,0,20000,0.0
scan,0,100,20000,LIRS,0,20000,0.0
scan,0,100,20000,BELADY,0,20000,0.0
scan,1,100,20000,LRU,0,20000,0.0
scan,1,100,20000,LFU,0,20000,0.0
